Datetime,Water Level (m)
2023-08-12 18:00:00,-7.001
2023-08-12 19:00:00,-7.001
2023-08-12 20:00:00,-7.001
2023-08-12 21:00:00,-7.001
2023-08-12 22:00:00,-7.001
2023-08-12 23:00:00,-7.001
2023-08-13 00:00:00,-7.001
2023-08-13 01:00:00,-7.001
2023-08-13 02:00:00,-7.001
2023-08-13 03:00:00,-7.001
2023-08-13 04:00:00,-7.001
2023-08-13 05:00:00,-7.001
2023-08-13 06:00:00,0.11772251
2023-08-13 07:00:00,0.12908089
2023-08-13 08:00:00,0.12824951
2023-08-13 09:00:00,0.1268036
2023-08-13 10:00:00,0.136855
2023-08-13 11:00:00,0.14210047
2023-08-13 12:00:00,0.15223563
2023-08-13 13:00:00,0.16240092
2023-08-13 14:00:00,0.1727576
2023-08-13 15:00:00,0.17879152
2023-08-13 16:00:00,0.18489397
2023-08-13 17:00:00,0.19263346
2023-08-13 18:00:00,0.19777036
2023-08-13 19:00:00,0.19880925
2023-08-13 20:00:00,0.19967976
2023-08-13 21:00:00,0.1999915
2023-08-13 22:00:00,0.2015525
2023-08-13 23:00:00,0.20504726
2023-08-14 00:00:00,0.20961624
2023-08-14 01:00:00,0.21538778
2023-08-14 02:00:00,0.22061092
2023-08-14 03:00:00,0.22499697
2023-08-14 04:00:00,0.2286003
2023-08-14 05:00:00,0.2306343
2023-08-14 06:00:00,0.23094352
2023-08-14 07:00:00,0.22933084
2023-08-14 08:00:00,0.22712447
2023-08-14 09:00:00,0.22629994
2023-08-14 10:00:00,0.2282372
2023-08-14 11:00:00,0.23266721
2023-08-14 12:00:00,0.23918556
2023-08-14 13:00:00,0.24754147
2023-08-14 14:00:00,0.25691023
2023-08-14 15:00:00,0.29151204
2023-08-14 16:00:00,0.34809536
2023-08-14 17:00:00,0.41372126
2023-08-14 18:00:00,0.48698395
2023-08-14 19:00:00,0.55994266
2023-08-14 20:00:00,0.6317385
2023-08-14 21:00:00,0.70273197
2023-08-14 22:00:00,0.76647615
2023-08-14 23:00:00,0.83765113
2023-08-15 00:00:00,0.9076667
2023-08-15 01:00:00,0.9754258
2023-08-15 02:00:00,1.0403141
2023-08-15 03:00:00,1.1015216
2023-08-15 04:00:00,1.1583623
2023-08-15 05:00:00,1.210291
2023-08-15 06:00:00,1.2570308
2023-08-15 07:00:00,1.2991703
2023-08-15 08:00:00,1.3371978
2023-08-15 09:00:00,1.3721839
2023-08-15 10:00:00,1.4056991
2023-08-15 11:00:00,1.4393277
2023-08-15 12:00:00,1.4736304
2023-08-15 13:00:00,1.5087807
2023-08-15 14:00:00,1.5443138
2023-08-15 15:00:00,1.5790668
2023-08-15 16:00:00,1.612582
2023-08-15 17:00:00,1.6426203
2023-08-15 18:00:00,1.672042
2023-08-15 19:00:00,1.699443
2023-08-15 20:00:00,1.7247757
2023-08-15 21:00:00,1.7483425
2023-08-15 22:00:00,1.7707486
2023-08-15 23:00:00,1.7895128
2023-08-16 00:00:00,1.8085803
2023-08-16 01:00:00,1.8275429
2023-08-16 02:00:00,1.8499327
2023-08-16 03:00:00,1.8711137
2023-08-16 04:00:00,1.8921056
2023-08-16 05:00:00,1.9092199
2023-08-16 06:00:00,1.9247925
2023-08-16 07:00:00,1.9382027
2023-08-16 08:00:00,1.9482077
2023-08-16 09:00:00,1.956104
2023-08-16 10:00:00,1.9647362
2023-08-16 11:00:00,1.9769601
2023-08-16 12:00:00,1.9954851
2023-08-16 13:00:00,2.0164113
2023-08-16 14:00:00,2.0411046
2023-08-16 15:00:00,2.067586
2023-08-16 16:00:00,2.0939798
2023-08-16 17:00:00,2.1187587
2023-08-16 18:00:00,2.1407032
2023-08-16 19:00:00,2.1600392
2023-08-16 20:00:00,2.170989
2023-08-16 21:00:00,2.1887057
2023-08-16 22:00:00,2.198908
2023-08-16 23:00:00,2.209227
2023-08-17 00:00:00,2.226138
2023-08-17 01:00:00,2.2451634
2023-08-17 02:00:00,2.2653658
2023-08-17 03:00:00,2.284896
2023-08-17 04:00:00,2.302431
2023-08-17 05:00:00,2.317965
2023-08-17 06:00:00,2.330767
2023-08-17 07:00:00,2.342188
2023-08-17 08:00:00,2.352391
2023-08-17 09:00:00,2.3612769
2023-08-17 10:00:00,2.3694293
2023-08-17 11:00:00,2.3781464
2023-08-17 12:00:00,2.3823817
2023-08-17 13:00:00,2.3905551
2023-08-17 14:00:00,2.4102693
2023-08-17 15:00:00,2.4277055
2023-08-17 16:00:00,2.4442194
2023-08-17 17:00:00,2.4594254
2023-08-17 18:00:00,2.473022
2023-08-17 19:00:00,2.48483
2023-08-17 20:00:00,2.4950345
2023-08-17 21:00:00,2.5037067
2023-08-17 22:00:00,2.5111973
2023-08-17 23:00:00,2.518347
2023-08-18 00:00:00,2.5266836
2023-08-18 01:00:00,2.5370991
2023-08-18 02:00:00,2.549228
2023-08-18 03:00:00,2.5621188
2023-08-18 04:00:00,2.5747104
2023-08-18 05:00:00,2.584414
2023-08-18 06:00:00,2.594596
2023-08-18 07:00:00,2.6041133
2023-08-18 08:00:00,2.6126206
2023-08-18 09:00:00,2.619257
2023-08-18 10:00:00,2.6247168
2023-08-18 11:00:00,2.6301146
2023-08-18 12:00:00,2.6360033
2023-08-18 13:00:00,2.6443012
2023-08-18 14:00:00,2.655636
2023-08-18 15:00:00,2.6698384
2023-08-18 16:00:00,2.6846347
2023-08-18 17:00:00,2.6988566
2023-08-18 18:00:00,2.7057478
